stop_id,near_campus,dist_to_campus_m
1038,False,4484.3
1400,False,5622.1
1119,False,5257.9
687,True,668.8
1405,False,5679.3
1184,True,0.0
186,True,1463.2
1006,False,6426.7
67,False,3120.4
681,True,1259.6
539,False,1748.6
498,False,1658.6
433,False,2717.1
319,False,4184.3
1121,False,4535.8
994,False,5385.9
794,True,494.2
1003,False,6745.0
987,False,3875.7
414,False,5688.2
332,False,4181.5
514,False,4573.6
1174,True,0.0
977,False,1851.5
1000,False,6754.2
432,False,2898.8
820,False,2568.0
495,False,1648.8
486,True,31.3
521,False,6422.0
66,False,2958.9
500,False,1787.0
156,True,194.4
531,False,3288.1
518,False,6256.2
485,True,32.9
997,False,6461.1
164,False,1771.7
1024,False,2187.3
878,True,1569.9
599,False,2792.6
329,False,4616.9
163,True,1484.0
690,True,302.3
689,True,315.7
979,False,2172.6
1624,True,633.8
1023,False,2310.0
588,False,2799.8
1040,False,5215.8
1625,True,631.7
229,False,3158.9
517,False,5767.7
526,False,4554.7
775,False,1755.1
667,True,75.4
1287,False,6093.6
185,False,1633.7
1115,False,5560.8
323,False,4625.5
1472,True,423.5
523,False,5772.3
827,False,2546.0
1619,False,8354.7
786,False,1756.9
522,False,6059.1
544,False,1620.7
159,True,445.5
1623,True,565.0
1276,False,6083.9
490,True,199.3
167,False,2556.4
1617,False,6966.0
672,True,269.2
1033,False,3074.5
1125,False,3073.1
787,True,1571.3
1044,False,5502.1
980,False,2334.9
1048,False,4995.4
1111,False,4975.8
693,True,299.9
981,False,2459.2
1022,False,2461.4
1616,False,6915.1
1046,False,5245.6
1612,False,10545.2
774,True,1557.0
670,True,264.3
184,False,1900.4
166,False,2263.9
692,True,297.2
182,False,2316.9
1553,False,2463.0
1622,True,581.7
181,False,2444.9
676,True,772.9
1035,False,3810.7
1278,False,6598.0
1613,False,10509.3
686,True,835.9
1113,False,5258.0
1285,False,6621.4
1114,False,5393.1
1311,True,849.8
671,True,264.0
165,False,2026.9
1036,False,4103.1
1112,False,5135.1
819,False,2404.3
1312,True,863.4
1047,False,5146.1
1122,False,4127.0
516,False,5175.1
1275,False,5896.5
1123,False,3880.5
1288,False,5849.8
1277,False,6385.6
828,False,2376.9
1286,False,6374.3
524,False,5192.2
10,True,0.7
1007,False,6024.3
1056,False,3155.6
1063,False,3264.2
1138,True,289.7
1144,True,0.0
1145,True,0.0
1146,True,0.0
116,False,2533.8
12,True,3.1
1209,True,385.0
1238,True,174.8
1248,True,284.7
1284,False,6994.8
1324,True,142.8
1343,False,6198.8
1444,True,708.4
1471,True,203.8
1474,True,166.3
1506,True,631.0
157,True,218.7
158,True,225.6
161,True,936.4
190,True,227.1
192,True,1.0
293,False,2397.3
294,False,2547.0
303,False,2118.2
311,False,3860.0
339,False,3864.9
347,False,2095.7
357,False,2393.9
366,True,754.2
388,False,4201.1
402,False,6383.8
437,True,647.9
456,True,318.9
457,True,123.8
459,True,12.5
525,False,4952.1
773,True,1203.0
788,True,1240.4
789,True,899.7
796,True,908.8
8,True,219.9
830,False,2005.4
865,True,1308.0
867,True,1072.3
9,True,60.0
900,True,1024.0
902,True,1322.0
935,True,16.2
962,True,0.0
963,True,0.0
965,True,0.0
996,False,6027.3
