stop_id,stop_name,stop_lat,stop_lon,routes,daily_trips,mean_lst_c,pct_green,pct_no_vehicle,pct_65_plus,shelter_status,lst_percentile,shelter_factor,social_vulnerability,shade_need,shade_need_rank,top20_shade_need
1018,CVS @ Millhopper,29.674912,-82.389099,43,14,40.61659458705357,33.2,17.254556143445033,28.263455248290214,none,0.8194103194103194,1.5,1.3044316816922739,1.071,13,True
966,Weimer Hall,29.64857,-82.347334,"9,12,33,38,118",248,43.712918526785714,16.9,30.48780487804878,0.0114639458901753,none,0.972972972972973,1.5,0.8784434820109817,1.0654,14,True
248,Gainesville High School,29.667953,-82.339253,8,17,42.93970120337702,31.7,7.312925170068027,27.624720774385704,none,0.9447174447174447,1.5,1.0888165256526365,1.0538,15,True
262,Westgate Mobile Manor Park,29.695,-82.338885,6,14,41.54404296875,18.7,11.592076302274394,26.838966202783297,unknown,0.8857493857493858,1.25,1.1556368975586597,1.0402,16,True
259,ALDI Food Market,29.687607,-82.338857,"6,15",37,41.14677036830357,30.6,11.592076302274394,26.838966202783297,none,0.8624078624078624,1.5,1.1556368975586597,1.0375,17,True
842,Southwest Recreation Center,29.638171,-82.369247,20,61,42.94894263857887,42.9,49.78902953586498,0.0,none,0.9471744471744472,1.5,1.2663883344795444,1.0274,18,True
532,NW 23rd Ave @ NW 43rd St,29.673993,-82.390196,10,20,40.54625447591146,31.4,5.506141465480729,33.90179910044978,none,0.8132678132678133,1.5,1.206260677875137,1.0095,19,True
1629,SW 43rd St @ Texas Roadhouse,29.6174457,-82.3893686,75,27,43.1390380859375,11.7,16.47440519105984,14.393255043661547,unknown,0.957002457002457,1.25,0.9489253902276394,1.0023,20,True
1430,NE 39th Ave @ Waldo Rd,29.685182,-82.289826,26,13,43.014251708984375,27.4,18.24006834686032,13.6077655941039,none,0.9496314496314496,1.5,0.9651958455349003,0.9982,21,False
255,Rural King,29.677464,-82.338961,"6,15",60,42.31527328491211,26.2,11.592076302274394,26.838966202783297,unknown,0.9275184275184275,1.25,1.1556368975586597,0.9888,22,False
725,Southeast Car Agency,29.688578,-82.322195,15,23,40.99603794642857,37.5,16.82586333578251,25.576208178438662,none,0.855036855036855,1.5,1.2299724677763333,0.9859,23,False
1626,SW 43rd St @ Cracker Barrel,29.6171772,-82.3891192,75,26,43.396881103515625,14.4,16.47440519105984,14.393255043661547,unknown,0.9631449631449631,1.25,0.9489253902276394,0.9779,24,False
1094,Clarion Inn,29.659342,-82.422241,75,27,41.984110514322914,6.4,15.908324907313784,7.102560393461594,none,0.9164619164619164,1.5,0.7589201530410215,0.9765,25,False
365,Theory Apartments,29.6562569,-82.3390819,"8,10,13",96,44.57828267415365,10.8,21.14384748700173,1.9492808478425436,none,0.9877149877149877,1.5,0.7379744271417619,0.9753,26,False
806,Southwest Recreation Center,29.638113,-82.369364,20,61,42.33019660500919,45.5,49.78902953586498,0.0,none,0.9299754299754299,1.5,1.2663883344795444,0.9628,27,False
1274,Krystal @ Newberry Road,29.659836,-82.424709,23,25,42.9958065257353,18.2,5.470500373412994,18.014849550605703,none,0.9484029484029484,1.5,0.8163199478354465,0.9499,28,False
